City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Richards Bay,ZA,-28.783,32.0377,64.31,83,93,3.94,light rain
152,Sloboda,RU,51.1421,40.3021,73.74,58,28,7.85,scattered clouds
153,Evensk,RU,61.95,159.2333,48.15,54,7,10.4,clear sky
154,Ordu,TR,40.9086,37.6845,63.1,91,10,4.65,clear sky
155,Luau,AO,-10.7073,22.2247,65.79,36,33,2.73,scattered clouds
156,Pevek,RU,69.7008,170.3133,34.09,83,100,21.97,overcast clouds
157,Ondangwa,NA,-17.9167,15.95,64.4,34,0,4.61,clear sky
158,Morondava,MG,-20.2833,44.2833,69.12,74,5,12.86,clear sky
159,Komatipoort,ZA,-25.4332,31.9548,65.05,90,0,4.61,clear sky
160,Hervey Bay,AU,-25.2986,152.8535,62.71,89,5,12.68,clear sky
161,Goundam,ML,16.4145,-3.6708,94.19,36,42,7.31,scattered clouds
162,Huilong,CN,31.8111,121.655,79.99,92,0,10.96,clear sky
163,Lorengau,PG,-2.0226,147.2712,81.46,80,18,8.19,few clouds
164,Paungde,MM,18.4833,95.5,75.9,97,100,5.77,overcast clouds
165,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,9.22,clear sky
166,Ambilobe,MG,-13.2,49.05,67.1,86,10,3.27,clear sky
167,Banga,PH,6.4239,124.7783,73.35,91,85,1.07,overcast clouds
168,Miri,MY,4.4148,114.0089,75.34,88,40,8.05,light rain
169,Hamilton,US,39.1834,-84.5333,80.1,50,40,1.99,scattered clouds
170,Qovlar,AZ,40.948,45.735,70.65,36,27,4.18,scattered clouds
171,Pathein,MM,16.7833,94.7333,77.25,93,100,8.75,overcast clouds
172,Saint-Augustin,CA,51.226,-58.6502,62.8,76,94,15.88,overcast clouds
173,Te Anau,NZ,-45.4167,167.7167,38.39,93,50,1.54,scattered clouds
174,Fernandina Beach,US,30.6697,-81.4626,87.26,82,40,5.99,scattered clouds
175,Salalah,OM,17.0151,54.0924,78.89,89,90,5.75,overcast clouds
176,Semnan,IR,35.5729,53.3971,79.84,39,99,9.17,overcast clouds
177,Yulara,AU,-25.2406,130.9889,35.44,69,0,6.91,clear sky
178,Margate,GB,51.3813,1.3862,62.04,73,100,1.01,overcast clouds
179,Yellowknife,CA,62.456,-114.3525,90.12,25,75,9.22,smoke
180,Saldanha,ZA,-33.0117,17.9442,55.45,74,0,6.15,clear sky
181,Grand Gaube,MU,-20.0064,57.6608,59.4,61,0,3.58,clear sky
182,Shelburne,CA,44.0787,-80.2041,74.75,31,50,10.25,scattered clouds
183,Itaituba,BR,-4.2761,-55.9836,80.76,89,40,5.75,scattered clouds
184,East London,ZA,-33.0153,27.9116,59.76,76,79,16.78,broken clouds
185,Labuhan,ID,-6.8844,112.2051,75.88,87,57,10.74,broken clouds
186,Conselheiro Pena,BR,-19.1722,-41.4722,68.14,62,66,3.58,broken clouds
187,Omsukchan,RU,62.5333,155.8,34.75,95,98,6.82,light rain
188,Kenai,US,60.5544,-151.2583,75.02,57,1,9.22,clear sky
189,Klaksvik,FO,62.2266,-6.589,50.92,86,100,12.06,overcast clouds
190,Paveh,IR,35.0434,46.3565,69.87,52,44,7.43,scattered clouds
191,Dehloran,IR,32.6941,47.2679,99.86,13,2,6.82,clear sky
192,Arlit,NE,18.7369,7.3853,93.11,29,100,10.36,overcast clouds
193,Segou,ML,13.4317,-6.2157,82.78,67,100,7.34,overcast clouds
194,Geraldton,AU,-28.7667,114.6,43.21,93,2,10.36,clear sky
195,Abu Samrah,SY,35.3029,37.1841,82.18,42,3,8.72,clear sky
196,Tasiilaq,GL,65.6145,-37.6368,46.56,83,100,2.8,overcast clouds
197,Alice Town,BS,25.7167,-79.3,85.05,71,100,7.74,overcast clouds
198,Santa Cruz,BO,-17.8,-63.1667,81.45,18,0,5.95,clear sky
199,Bayangol,RU,50.6977,103.4656,50.79,97,100,4.23,very heavy rain
200,Pafos,CY,34.7667,32.4167,82.31,47,0,8.05,clear sky
201,Severo-Kurilsk,RU,50.6789,156.125,50.7,79,96,21.54,overcast clouds
202,Harlingen,US,26.1906,-97.6961,98.33,57,40,9.22,scattered clouds
203,Siyabuswa,ZA,-25.1132,29.0445,55.15,39,0,6.64,clear sky
204,Nanortalik,GL,60.1432,-45.2371,45.95,88,95,1.95,light rain
205,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,75.09,44,71,10.85,broken clouds
206,Carutapera,BR,-1.195,-46.02,75.97,87,61,6.53,broken clouds
207,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,77,0,11.5,clear sky
208,Vygonichi,RU,53.0985,34.0673,62.46,95,41,7.43,scattered clouds
209,Airai,TL,-8.9266,125.4092,55.51,79,62,3.42,broken clouds
210,Berlevag,NO,70.8578,29.0864,48.15,76,0,0.0,clear sky
211,Cuenca,EC,-2.8833,-78.9833,55.53,88,90,4.61,light rain
212,Buhe,CN,30.2876,112.2298,78.37,93,0,6.76,light rain
213,Jiuquan,CN,39.7432,98.5174,66.99,23,24,7.27,few clouds
214,Andenes,NO,69.3143,16.1194,46.38,87,90,8.05,overcast clouds
215,Griffith,US,41.5284,-87.4237,77.49,51,75,1.01,broken clouds
216,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,77,90,8.05,overcast clouds
217,Halifax,CA,44.6453,-63.5724,64.4,89,100,3.0,overcast clouds
218,Russell,US,32.3502,-85.1999,89.2,61,75,10.36,heavy intensity rain
219,Hithadhoo,MV,-0.6,73.0833,81.66,71,100,6.38,overcast clouds
220,Flinders,AU,-34.5833,150.8552,57.38,88,86,1.01,overcast clouds
221,Haines Junction,CA,60.7522,-137.5108,73.35,43,92,1.14,light rain
222,Benghazi,LY,32.1167,20.0667,84.43,62,0,15.55,clear sky
223,Tshikapa,CD,-6.4167,20.8,75.29,27,67,1.88,broken clouds
224,Morro Bay,US,35.3658,-120.8499,102.38,50,11,11.99,few clouds
225,Inuvik,CA,68.3499,-133.7218,64.44,67,75,10.36,broken clouds
226,Louga,RU,58.7372,29.8453,56.32,96,100,13.76,overcast clouds
227,Ancud,CL,-41.8697,-73.8203,56.43,97,100,4.05,overcast clouds
228,Korla,CN,41.7597,86.1469,78.1,22,100,1.86,overcast clouds
229,Gerash,IR,27.6652,54.1371,89.74,32,10,3.49,clear sky
230,Wanaka,NZ,-44.7,169.15,39.11,99,100,1.99,overcast clouds
231,Vysokaya Gora,RU,55.9128,49.3017,71.78,57,11,4.97,few clouds
232,Yablonovo,RU,50.8523,37.3574,75.06,86,57,5.19,broken clouds
233,Batagay-Alyta,RU,67.8006,130.4114,61.79,35,0,2.15,clear sky
234,Zyryanka,RU,65.75,150.85,46.45,56,59,6.58,broken clouds
235,Yar-Sale,RU,66.8333,70.8333,55.11,94,100,6.31,overcast clouds
236,Khasan,RU,42.4308,130.6434,74.8,95,100,11.9,light rain
237,Karema,TZ,-6.8205,30.4389,70.92,47,0,3.29,clear sky
238,Klyuchi,RU,52.2667,79.1667,68.58,68,100,2.28,overcast clouds
239,Roswell,US,34.0232,-84.3616,89.33,56,1,1.01,clear sky
240,Noumea,NC,-22.2763,166.4572,66.99,99,0,3.04,clear sky
241,Yining,CN,29.0361,114.5636,76.95,90,1,2.8,clear sky
242,Meulaboh,ID,4.1363,96.1285,74.93,85,87,4.99,overcast clouds
243,Taunggyi,MM,20.7833,97.0333,63.43,97,100,3.49,overcast clouds
244,Kaitangata,NZ,-46.2817,169.8464,46.92,64,100,9.64,overcast clouds
245,Praia,CV,14.9215,-23.5087,79.34,78,75,9.22,broken clouds
246,Srivardhan,IN,18.0333,73.0167,79.63,84,100,16.67,overcast clouds
247,Chapais,CA,49.7834,-74.8492,64.18,51,100,10.74,overcast clouds
248,Antalaha,MG,-14.9003,50.2788,65.93,90,5,5.86,clear sky
249,Matara,LK,5.9485,80.5353,77.95,88,100,12.35,overcast clouds
250,Osa,RU,57.2829,55.4567,63.45,94,79,4.27,broken clouds
251,Tutoia,BR,-2.7619,-42.2744,78.91,72,9,8.3,clear sky
252,Morehead,US,37.2711,-87.1764,81.1,51,40,4.61,scattered clouds
253,Payo,ID,-3.7508,103.6372,71.47,96,77,2.68,broken clouds
254,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,78,0,7.14,clear sky
255,Paamiut,GL,61.994,-49.6678,45.23,89,100,4.34,overcast clouds
256,Markova,UA,48.6758,24.4138,55.42,93,12,3.65,few clouds
257,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,94,40,4.47,light rain
258,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,75,6.91,broken clouds
259,Zhezkazgan,KZ,47.8043,67.7144,81.0,27,7,9.51,clear sky
260,Jardim,BR,-21.4803,-56.1381,76.78,37,5,2.57,clear sky
261,Zabid,YE,14.1951,43.3152,88.0,51,100,12.66,overcast clouds
262,Deputatskiy,RU,69.3,139.9,42.93,56,4,4.88,clear sky
263,Dajal,PK,29.5577,70.3762,98.69,37,27,11.74,scattered clouds
264,Lagoa,PT,39.05,-27.9833,72.34,90,3,5.23,clear sky
265,Yairipok,IN,24.6667,94.0667,68.79,99,87,1.32,overcast clouds
266,Yatou,CN,37.15,122.3833,71.2,92,6,2.71,clear sky
267,Koumra,TD,8.9126,17.5539,72.34,95,98,3.89,overcast clouds
268,Hami,CN,42.8,93.45,77.85,21,1,6.4,clear sky
269,Wuzhou,CN,23.4833,111.3167,78.17,94,100,0.65,moderate rain
270,Tura,IN,25.5198,90.2201,74.05,98,99,3.58,overcast clouds
271,Mar Del Plata,AR,-38.0023,-57.5575,56.08,59,0,4.0,clear sky
272,Ronneby,SE,56.21,15.276,57.7,94,75,3.44,broken clouds
273,Fortuna,US,40.5982,-124.1573,94.48,71,20,3.0,few clouds
274,Taoudenni,ML,22.6783,-3.9836,94.44,32,99,22.03,overcast clouds
275,Poshekhonye,RU,58.4993,39.1353,68.58,85,98,12.08,overcast clouds
276,Jalingo,NG,8.8833,11.3667,74.89,88,51,3.96,light rain
277,Faridpur,BD,23.6,89.8333,82.4,92,93,4.83,overcast clouds
278,Portland,US,45.5234,-122.6762,97.52,44,20,1.01,few clouds
279,Baruun-Urt,MN,46.6806,113.2792,61.9,52,93,4.5,moderate rain
280,Takoradi,GH,4.8845,-1.7554,77.22,83,45,8.01,scattered clouds
281,Lipari,IT,38.4674,14.954,82.94,69,25,6.55,scattered clouds
282,Severobaykalsk,RU,55.65,109.3167,54.46,85,100,2.33,overcast clouds
283,Palmer,US,42.1584,-72.3287,79.97,49,20,1.99,few clouds
284,Lasa,IT,46.6166,10.7002,60.71,91,51,3.11,broken clouds
285,Bonfim,BR,3.0833,-59.95,81.7,73,95,2.68,overcast clouds
286,Faya,SA,18.3851,42.4509,66.31,67,100,10.0,overcast clouds
287,Boa Vista,BR,2.8197,-60.6733,82.38,69,75,2.3,light rain
288,Ati,TD,13.2154,18.3353,83.57,63,67,7.58,broken clouds
289,Nyimba,ZM,-14.5566,30.8149,64.0,41,2,5.86,clear sky
290,Abalak,RU,58.1286,68.5944,61.52,74,99,4.81,overcast clouds
291,Maracacume,BR,-2.0428,-45.9592,78.78,73,95,3.27,overcast clouds
292,Adrar,MR,20.5022,-10.0711,97.95,27,3,8.57,clear sky
293,Vestmanna,FO,62.1564,-7.1664,49.12,87,90,5.75,overcast clouds
294,Coahuayana,MX,18.7333,-103.6833,92.68,61,99,7.29,overcast clouds
295,Dikson,RU,73.5069,80.5464,50.4,78,94,10.83,overcast clouds
296,Leshukonskoye,RU,64.8989,45.7622,54.75,96,42,3.8,scattered clouds
297,Manavgat,TR,36.7867,31.4431,89.51,33,0,10.63,clear sky
298,Waldkirch,DE,48.0959,7.9637,61.11,93,15,4.97,few clouds
299,Dzilam Gonzalez,MX,21.2833,-88.9333,89.62,57,17,12.1,few clouds
300,Khandyga,RU,62.6667,135.6,62.94,63,55,1.61,broken clouds
301,Lompoc,US,34.6391,-120.4579,95.02,65,1,14.97,clear sky
302,Batemans Bay,AU,-35.7167,150.1833,54.91,87,62,6.96,broken clouds
303,Boundiali,CI,9.5217,-6.4869,71.91,90,57,2.33,broken clouds
304,Zhaodong,CN,46.0833,125.9833,68.02,97,100,9.26,light rain
305,Broome,US,42.2506,-75.833,75.18,51,1,4.0,clear sky
306,Naron,ES,43.5167,-8.1528,65.25,89,8,6.46,clear sky
307,Alofi,NU,-19.0595,-169.9187,76.89,73,40,11.5,scattered clouds
308,Jalu,LY,29.0331,21.5482,90.07,22,0,13.18,clear sky
309,Acarau,BR,-2.8856,-40.12,79.25,69,7,10.25,clear sky
310,Pangkalanbuun,ID,-2.6833,111.6167,74.19,97,98,2.1,overcast clouds
311,Itupiranga,BR,-5.1347,-49.3267,88.12,39,22,2.17,few clouds
312,Boddam,GB,57.4667,-1.7833,53.98,79,92,5.06,overcast clouds
313,Banda Aceh,ID,5.5577,95.3222,79.21,78,95,13.2,overcast clouds
314,Bengkulu,ID,-3.8004,102.2655,75.13,89,50,3.56,scattered clouds
315,Nemuro,JP,43.3236,145.575,68.41,99,99,4.9,overcast clouds
316,Harper,LR,4.375,-7.7169,76.15,77,12,6.96,few clouds
317,Zhigansk,RU,66.7697,123.3711,60.12,59,18,9.4,few clouds
318,Pokoynoye,RU,44.8097,44.2517,78.06,53,1,3.89,clear sky
319,Puente Nacional,CO,5.8774,-73.6781,71.1,59,79,4.45,broken clouds
320,Tautira,PF,-17.7333,-149.15,82.42,75,100,15.64,overcast clouds
321,Broken Hill,AU,-31.95,141.4333,42.26,87,6,14.5,clear sky
322,Wiwili,NI,13.6268,-85.8254,81.34,60,77,9.95,light rain
323,Negombo,LK,7.2083,79.8358,78.85,86,100,12.93,overcast clouds
324,The Pas,CA,53.8251,-101.2541,86.02,48,90,7.02,haze
325,Prince Rupert,CA,54.3161,-130.3201,62.29,82,90,5.75,overcast clouds
326,Leh,IN,34.1667,77.5833,63.84,43,16,5.32,few clouds
327,Pasni,PK,25.2631,63.471,80.74,87,69,14.29,broken clouds
328,Tiquisio,CO,8.5597,-74.2669,87.85,64,99,3.2,overcast clouds
329,Bad Hersfeld,DE,50.8667,9.7,60.01,98,18,1.81,few clouds
330,Aklavik,CA,68.2191,-135.0107,64.4,77,90,6.91,shower rain
331,Blackwater,AU,-23.5833,148.8833,56.62,78,0,6.35,clear sky
332,Norman Wells,CA,65.282,-126.8329,82.44,39,1,5.75,smoke
333,Nybro,SE,56.7446,15.9071,60.04,76,77,6.67,broken clouds
334,Tahe,CN,52.3333,124.7333,56.57,95,98,3.06,overcast clouds
335,Mareeba,AU,-17.0,145.4333,63.32,98,13,2.19,few clouds
336,Palafrugell,ES,41.9174,3.1631,73.35,62,28,7.25,scattered clouds
337,Bonavista,CA,48.6499,-53.1147,69.8,67,100,14.76,overcast clouds
